指标名称,深证成份指数
2010-12-20,12557.547
2010-12-21,12872.446
2010-12-22,12766.952
2010-12-23,12644.575
2010-12-24,12556.845
2010-12-27,12303.188
2010-12-28,12063.802
2010-12-29,12114.564
2010-12-30,12138.895
2010-12-31,12458.552
2011-01-04,12714.514
2011-01-05,12647.629
2011-01-06,12599.656
2011-01-07,12573.937
2011-01-10,12331.158
2011-01-11,12385.172
2011-01-12,12409.978
2011-01-13,12423.343
2011-01-14,12294.165
2011-01-17,11734.624
2011-01-18,11771.588
2011-01-19,12066.547
2011-01-20,11566.74
2011-01-21,11639.959
2011-01-24,11488.917
2011-01-25,11446.372
2011-01-26,11599.671
2011-01-27,11795.33
2011-01-28,11894.227
2011-01-31,11994.684
2011-02-01,11991.512
2011-02-09,11807.927
2011-02-10,12170.512
2011-02-11,12292.491
2011-02-14,12737.804
2011-02-15,12711.575
2011-02-16,12884.87
2011-02-17,12788.335
2011-02-18,12613.112
2011-02-21,12872.466
2011-02-22,12473.331
2011-02-23,12492.705
2011-02-24,12578.426
2011-02-25,12633.879
2011-02-28,12902.435
2011-03-01,12948.718
2011-03-02,12880.266
2011-03-03,12698.16
2011-03-04,12893.842
2011-03-07,13140.882
2011-03-08,13144.182
2011-03-09,13158.215
2011-03-10,13004.855
2011-03-11,12848.019
2011-03-14,12958.292
2011-03-15,12705.322
2011-03-16,12865.754
2011-03-17,12650.673
2011-03-18,12721.991
2011-03-21,12643.731
2011-03-22,12667.263
2011-03-23,12845.529
2011-03-24,12771.455
2011-03-25,12942.071
2011-03-28,12875.517
2011-03-29,12677.608
2011-03-30,12661.216
2011-03-31,12562.901
2011-04-01,12699.417
2011-04-06,12740.87
2011-04-07,12890.655
2011-04-08,13036.232
2011-04-11,12925.046
2011-04-12,12902.223
2011-04-13,13102.083
2011-04-14,12991.925
2011-04-15,12965.746
2011-04-18,13001.331
2011-04-19,12799.241
2011-04-20,12753.846
2011-04-21,12798.751
2011-04-22,12708.42
2011-04-25,12508.009
2011-04-26,12448.484
2011-04-27,12358.882
2011-04-28,12149.247
2011-04-29,12312.991
2011-05-03,12423.462
2011-05-04,12070.405
2011-05-05,12085.993
2011-05-06,12067.609
2011-05-09,12125.013
2011-05-10,12216.94
2011-05-11,12202.62
2011-05-12,12072.208
2011-05-13,12156.605
2011-05-16,12051.241
2011-05-17,12128.495
2011-05-18,12230.689
2011-05-19,12158.112
2011-05-20,12161.026
2011-05-23,11742.186
2011-05-24,11749.924
2011-05-25,11615.416
2011-05-26,11530.7
2011-05-27,11492.712
2011-05-30,11478.206
2011-05-31,11665.141
2011-06-01,11699.827
2011-06-02,11506.521
2011-06-03,11642.401
2011-06-07,11741.259
2011-06-08,11761.103
2011-06-09,11513.203
2011-06-10,11593.379
2011-06-13,11521.984
2011-06-14,11732.036
2011-06-15,11615.969
2011-06-16,11435.987
2011-06-17,11409.157
2011-06-20,11328.67
2011-06-21,11509.982
2011-06-22,11543.654
2011-06-23,11775.317
2011-06-24,11996.08
2011-06-27,12026.293
2011-06-28,12047.09
2011-06-29,11913.201
2011-06-30,12110.931
2011-07-01,12178.083
2011-07-04,12441.168
2011-07-05,12440.37
2011-07-06,12425.68
2011-07-07,12392.927
2011-07-08,12404.341
2011-07-11,12438.564
2011-07-12,12268.188
2011-07-13,12479.154
2011-07-14,12440.829
2011-07-15,12506.936
2011-07-18,12490.55
2011-07-19,12381.463
2011-07-20,12393.988
2011-07-21,12301.405
2011-07-22,12352.502
2011-07-25,11966.244
2011-07-26,12008.533
2011-07-27,12116.861
2011-07-28,12085.922
2011-07-29,11990.428
2011-08-01,12002.416
2011-08-02,11932.042
2011-08-03,11922.369
2011-08-04,11934.414
2011-08-05,11701.763
2011-08-08,11312.626
2011-08-09,11315.081
2011-08-10,11449.582
2011-08-11,11627.494
2011-08-12,11651.29
2011-08-15,11767.742
2011-08-16,11665.412
2011-08-17,11598.283
2011-08-18,11414.159
2011-08-19,11301.532
2011-08-22,11112.638
2011-08-23,11243.419
2011-08-24,11238.952
2011-08-25,11598.929
2011-08-26,11568.169
2011-08-29,11372.381
2011-08-30,11344.452
2011-08-31,11397.481
2011-09-01,11352.864
2011-09-02,11228.295
2011-09-05,10954.899
2011-09-06,10778.434
2011-09-07,11011.18
2011-09-08,10933.314
2011-09-09,10892.393
2011-09-13,10775.299
2011-09-14,10822.403
2011-09-15,10848.02
2011-09-16,10878.228
2011-09-19,10657.625
2011-09-20,10679.299
2011-09-21,10991.849
2011-09-22,10660.465
2011-09-23,10538.397
2011-09-26,10328.473
2011-09-27,10448.661
2011-09-28,10369.932
2011-09-29,10287.902
2011-09-30,10292.334
2011-10-10,10170.746
2011-10-11,10065.472
2011-10-12,10425.931
